id,shape_type,display_name,category,subcategory,description,source,priority,seo_keywords,canonical_url,is_active,created_at,updated_at,asset_value_usd,token_id,energy_hash,energy_rank,normalized_energy,pattern_discoveries,cross_learn_connections,base_energy,onchain_tx_hash,mint_status,erc20_contract_address
1478,frost_flower,Frost Flower,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/frost-flower,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1684,spring,Mathematical Spring,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/spring,t,2026-06-12T23:56:15.036Z,2026-06-12T23:56:15.036Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1934,letter-e,Letter E (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-e,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
10,babylonian_sagittarius_pabilsag,Babylonian Sagittarius Pabilsag,babylonian-zodiac,Babylonian Zodiac,Babylonian Sagittarius Pabilsag - Babylonian Zodiac mathematical visualization,frontend,0.8,"Babylonian Sagittarius Pabilsag, Babylonian Zodiac, mathematical visualization, 3D geometry, parametric surface",/shape/babylonian_sagittarius_pabilsag,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1578,rutherford_nucleus,Rutherford Nucleus,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/rutherford-nucleus,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
834,gyroid_tpms,Gyroid TPMS,medical,tpms,Triply Periodic Minimal Surface,formula_sync,0.8,"medical, UUON, parametric surface",/shapes/gyroid-tpms,t,2026-06-12T23:55:22.433Z,2026-06-12T23:55:22.433Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1781,uuon-dyon-field,UUON Dyon Field,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/uuon-dyon-field,t,2026-06-12T23:56:21.595Z,2026-06-12T23:56:21.595Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1918,temporal-engine,Temporal Engine Core,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/temporal-engine,t,2026-06-12T23:56:28.146Z,2026-06-12T23:56:28.146Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
1500,fractal_potential_well,Potential Well Map,fractal,fractal,Parametric surface,formula_sync,0.8,"fractal, UUON, parametric surface",/shapes/fractal-potential-well,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
11,babylonian_capricorn_goat_fish,Babylonian Capricorn Goat Fish,babylonian-zodiac,Babylonian Zodiac,Babylonian Capricorn Goat Fish - Babylonian Zodiac mathematical visualization,frontend,0.8,"Babylonian Capricorn Goat Fish, Babylonian Zodiac, mathematical visualization, 3D geometry, parametric surface",/shape/babylonian_capricorn_goat_fish,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
12,babylonian_aquarius_water_bearer,Babylonian Aquarius Water Bearer,babylonian-zodiac,Babylonian Zodiac,Babylonian Aquarius Water Bearer - Babylonian Zodiac mathematical visualization,frontend,0.8,"Babylonian Aquarius Water Bearer, Babylonian Zodiac, mathematical visualization, 3D geometry, parametric surface",/shape/babylonian_aquarius_water_bearer,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
13,babylonian_pisces_fish_string,Babylonian Pisces Fish String,babylonian-zodiac,Babylonian Zodiac,Babylonian Pisces Fish String - Babylonian Zodiac mathematical visualization,frontend,0.8,"Babylonian Pisces Fish String, Babylonian Zodiac, mathematical visualization, 3D geometry, parametric surface",/shape/babylonian_pisces_fish_string,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,75.350000,,,,,0,0,55000000000000000000000000000000,,success,0x425734a7fd13E9994b66a7909206007A1EF7030B
