Expanded display is on.
id,shape_type,display_name,category,subcategory,description,source,priority,seo_keywords,canonical_url,is_active,created_at,updated_at,asset_value_usd,token_id,energy_hash,energy_rank,normalized_energy,pattern_discoveries,cross_learn_connections,base_energy,onchain_tx_hash,mint_status,erc20_contract_address,morph_parameters,last_morph_at
1950,letter-u,Letter U (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-u,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1952,letter-w,Letter W (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-w,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1954,letter-y,Letter Y (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-y,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2110,alchemy_tartar,🍷 Tartar,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-tartar,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
247,emergent_gravity,Emergent Gravity,theory-of-everything,Theory of Everything,Emergent Gravity - Theory of Everything mathematical visualization,frontend,0.8,"Emergent Gravity, Theory of Everything, mathematical visualization, 3D geometry, parametric surface",/shape/emergent_gravity,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,677.375566,,,,,0,0,55000000000000000000000000000000,,success,0xc4CC9B71E5B1F2EdF69ca4Ee0FB7A9d0d30d95eC,"{""day"": 7, ""p2_amp"": ""20.111222"", ""p4_res"": 78.171547}",2026-06-13 15:48:43.026066+00
2123,alchemy_cerussa,⬜ Cerussa (White Lead),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-cerussa,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1939,letter-j,Letter J (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-j,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1941,letter-l,Letter L (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-l,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1943,letter-n,Letter N (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-n,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1945,letter-p,Letter P (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-p,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1947,letter-r,Letter R (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-r,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
